match_id,season,date_time,home_team,away_team,stadium,home_team_score,away_team_score,penalty_shoot_out,attendance
167,2020-2021,2020-11-03,FC Midtjylland,AFC Ajax,MCH Arena,1,2,0,132
168,2020-2021,2020-11-25,AFC Ajax,FC Midtjylland,Johan Cruijff ArenA,3,1,0,0
169,2020-2021,2020-11-25,Liverpool FC,Atalanta,Anfield,0,2,0,0
170,2020-2021,2020-12-01,Atalanta,FC Midtjylland,Gewiss Stadium,1,1,0,0
171,2020-2021,2020-12-01,Liverpool FC,AFC Ajax,Anfield,1,0,0,0
172,2020-2021,2020-12-09,AFC Ajax,Atalanta,Johan Cruijff ArenA,0,1,0,0
173,2020-2021,2020-12-09,FC Midtjylland,Liverpool FC,MCH Arena,1,1,0,0
174,2020-2021,2020-10-20,Chelsea FC,Sevilla FC,Stamford Bridge,0,0,0,0
175,2020-2021,2020-10-20,Stade Rennes,FK Krasnodar,Roazhon Park,1,1,0,4973
176,2020-2021,2020-10-28,FK Krasnodar,Chelsea FC,Krasnodar Stadium,0,4,0,10544
177,2020-2021,2020-10-28,Sevilla FC,Stade Rennes,Ramón Sánchez Pizjuán,1,0,0,0
178,2020-2021,2020-11-04,Chelsea FC,Stade Rennes,Stamford Bridge,3,0,0,0
179,2020-2021,2020-11-04,Sevilla FC,FK Krasnodar,Ramón Sánchez Pizjuán,3,2,0,1
180,2020-2021,2020-11-24,Stade Rennes,Chelsea FC,Roazhon Park,1,2,0,0
181,2020-2021,2020-11-24,FK Krasnodar,Sevilla FC,Krasnodar Stadium,1,2,0,10554
182,2020-2021,2020-12-02,FK Krasnodar,Stade Rennes,Krasnodar Stadium,1,0,0,8747
183,2020-2021,2020-12-02,Sevilla FC,Chelsea FC,Ramón Sánchez Pizjuán,0,4,0,0
184,2020-2021,2020-12-08,Chelsea FC,FK Krasnodar,Stamford Bridge,1,1,0,2000
185,2020-2021,2020-12-08,Stade Rennes,Sevilla FC,Roazhon Park,1,3,0,0
186,2020-2021,2020-10-20,Zenit St. Petersburg,Club Brugge KV,Gazprom Arena,1,2,0,16682
187,2020-2021,2020-10-20,Lazio Roma,Borussia Dortmund,Olimpico,3,1,0,1000
188,2020-2021,2020-10-28,Borussia Dortmund,Zenit St. Petersburg,Signal Iduna Park,2,0,0,0
189,2020-2021,2020-10-28,Club Brugge KV,Lazio Roma,Jan Breydel Stadion,1,1,0,0
190,2020-2021,2020-11-04,Zenit St. Petersburg,Lazio Roma,Gazprom Arena,1,1,0,0
191,2020-2021,2020-11-04,Club Brugge KV,Borussia Dortmund,Jan Breydel Stadion,0,3,0,0
192,2020-2021,2020-11-24,Borussia Dortmund,Club Brugge KV,Signal Iduna Park,3,0,0,0
193,2020-2021,2020-11-24,Lazio Roma,Zenit St. Petersburg,Olimpico,3,1,0,0
194,2020-2021,2020-12-02,Borussia Dortmund,Lazio Roma,Signal Iduna Park,1,1,0,0
195,2020-2021,2020-12-02,Club Brugge KV,Zenit St. Petersburg,Jan Breydel Stadion,3,0,0,0
196,2020-2021,2020-12-08,Zenit St. Petersburg,Borussia Dortmund,Gazprom Arena,1,2,0,10860
197,2020-2021,2020-12-08,Lazio Roma,Club Brugge KV,Olimpico,2,2,0,0
198,2020-2021,2020-10-20,Dinamo Kiev,Juventus,Olimpiyskyi,0,2,0,14850
199,2020-2021,2020-10-20,FC Barcelona,Ferencvárosi TC,Spotify Camp Nou,5,1,0,0
200,2020-2021,2020-10-28,Ferencvárosi TC,Dinamo Kiev,Groupama Aréna,2,2,0,6171
201,2020-2021,2020-10-28,Juventus,FC Barcelona,Allianz Stadium,0,2,0,0
202,2020-2021,2020-11-04,FC Barcelona,Dinamo Kiev,Spotify Camp Nou,2,1,0,0
203,2020-2021,2020-11-04,Ferencvárosi TC,Juventus,Puskás Aréna,1,4,0,18531
204,2020-2021,2020-11-24,Dinamo Kiev,FC Barcelona,Olimpiyskyi,0,4,0,0
205,2020-2021,2020-11-24,Juventus,Ferencvárosi TC,Allianz Stadium,2,1,0,0
206,2020-2021,2020-12-02,Juventus,Dinamo Kiev,Allianz Stadium,3,0,0,0
207,2020-2021,2020-12-02,Ferencvárosi TC,FC Barcelona,Groupama Aréna,0,3,0,0
208,2020-2021,2020-12-08,Dinamo Kiev,Ferencvárosi TC,Olimpiyskyi,1,0,0,0
209,2020-2021,2020-12-08,FC Barcelona,Juventus,Spotify Camp Nou,0,3,0,0
210,2020-2021,2020-10-20,RB Leipzig,İstanbul Başakşehir,Red Bull Arena,2,0,0,999
211,2020-2021,2020-10-20,Paris Saint-Germain,Manchester United,Parc des Princes,1,2,0,0
212,2020-2021,2020-10-28,İstanbul Başakşehir,Paris Saint-Germain,Fatih Terim Stadium,0,2,0,350
213,2020-2021,2020-10-28,Manchester United,RB Leipzig,Old Trafford,5,0,0,577
214,2020-2021,2020-11-04,İstanbul Başakşehir,Manchester United,Fatih Terim Stadium,2,1,0,350
215,2020-2021,2020-11-04,RB Leipzig,Paris Saint-Germain,Red Bull Arena,2,1,0,0
216,2020-2021,2020-11-24,Manchester United,İstanbul Başakşehir,Old Trafford,4,1,0,545
217,2020-2021,2020-11-24,Paris Saint-Germain,RB Leipzig,Parc des Princes,1,0,0,0
218,2020-2021,2020-12-02,İstanbul Başakşehir,RB Leipzig,Fatih Terim Stadium,3,4,0,0
219,2020-2021,2020-12-02,Manchester United,Paris Saint-Germain,Old Trafford,1,3,0,638
220,2020-2021,2020-12-08,RB Leipzig,Manchester United,Red Bull Arena,3,2,0,0
221,2020-2021,2020-12-09,Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,5,1,0,0
222,2020-2021,2021-02-16,RB Leipzig,Liverpool FC,Puskás Aréna,0,2,0,0
223,2020-2021,2021-02-16,FC Barcelona,Paris Saint-Germain,Spotify Camp Nou,1,4,0,0
224,2020-2021,2021-02-17,FC Porto,Juventus,Estádio do Dragão,2,1,0,0
225,2020-2021,2021-02-17,Sevilla FC,Borussia Dortmund,Ramón Sánchez Pizjuán,2,3,0,0
226,2020-2021,2021-02-23,Lazio Roma,Bayern München,Olimpico,1,4,0,0
227,2020-2021,2021-02-23,Atlético Madrid,Chelsea FC,Arena Națională,0,1,0,0
228,2020-2021,2021-02-24,Bor. Mönchengladbach,Manchester City,Puskás Aréna,0,2,0,0
229,2020-2021,2021-02-24,Atalanta,Real Madrid,Gewiss Stadium,0,1,0,0
230,2020-2021,2021-03-09,Juventus,FC Porto,Allianz Stadium,3,2,0,0
