"match_id","season","date_time","home_team","away_team","stadium","home_team_score","away_team_score","penalty_shoot_out","attendance"
"mt157","2020-2021","25-NOV-20 08.00.00.000000000 PM","Olympique Marseille","FC Porto","Vélodrome","0","2","0","0"
"mt158","2020-2021","01-DEC-20 08.00.00.000000000 PM","FC Porto","Manchester City","Estádio do Dragão","0","0","0","0"
"mt159","2020-2021","01-DEC-20 08.00.00.000000000 PM","Olympique Marseille","Olympiakos Piraeus","Vélodrome","2","1","0","0"
"mt160","2020-2021","09-DEC-20 08.00.00.000000000 PM","Manchester City","Olympique Marseille","Etihad Stadium","3","0","0","1"
"mt161","2020-2021","09-DEC-20 08.00.00.000000000 PM","Olympiakos Piraeus","FC Porto","Georgios Karaiskakis","0","2","0","0"
"mt162","2020-2021","21-OCT-20 08.00.00.000000000 PM","AFC Ajax","Liverpool FC","Johan Cruijff ArenA","0","1","0","0"
"mt163","2020-2021","21-OCT-20 08.00.00.000000000 PM","FC Midtjylland","Atalanta","MCH Arena","0","4","0","132"
"mt164","2020-2021","27-OCT-20 08.00.00.000000000 PM","Atalanta","AFC Ajax","Gewiss Stadium","2","2","0","0"
"mt165","2020-2021","27-OCT-20 08.00.00.000000000 PM","Liverpool FC","FC Midtjylland","Anfield","2","0","0","0"
"mt166","2020-2021","03-NOV-20 08.00.00.000000000 PM","Atalanta","Liverpool FC","Gewiss Stadium","0","5","0","0"
"mt167","2020-2021","03-NOV-20 08.00.00.000000000 PM","FC Midtjylland","AFC Ajax","MCH Arena","1","2","0","132"
"mt168","2020-2021","25-NOV-20 08.00.00.000000000 PM","AFC Ajax","FC Midtjylland","Johan Cruijff ArenA","3","1","0","0"
"mt169","2020-2021","25-NOV-20 08.00.00.000000000 PM","Liverpool FC","Atalanta","Anfield","0","2","0","0"
"mt170","2020-2021","01-DEC-20 08.00.00.000000000 PM","Atalanta","FC Midtjylland","Gewiss Stadium","1","1","0","0"
"mt171","2020-2021","01-DEC-20 08.00.00.000000000 PM","Liverpool FC","AFC Ajax","Anfield","1","0","0","0"
"mt172","2020-2021","09-DEC-20 05.55.00.000000000 PM","AFC Ajax","Atalanta","Johan Cruijff ArenA","0","1","0","0"
"mt173","2020-2021","09-DEC-20 05.55.00.000000000 PM","FC Midtjylland","Liverpool FC","MCH Arena","1","1","0","0"
"mt174","2020-2021","20-OCT-20 08.00.00.000000000 PM","Chelsea FC","Sevilla FC","Stamford Bridge","0","0","0","0"
"mt175","2020-2021","20-OCT-20 08.00.00.000000000 PM","Stade Rennes","FK Krasnodar","Roazhon Park","1","1","0","4973"
"mt176","2020-2021","28-OCT-20 05.55.00.000000000 PM","FK Krasnodar","Chelsea FC","Krasnodar Stadium","0","4","0","10544"
"mt177","2020-2021","28-OCT-20 08.00.00.000000000 PM","Sevilla FC","Stade Rennes","Ramón Sánchez Pizjuán","1","0","0","0"
"mt178","2020-2021","04-NOV-20 08.00.00.000000000 PM","Chelsea FC","Stade Rennes","Stamford Bridge","3","0","0","0"
"mt179","2020-2021","04-NOV-20 08.00.00.000000000 PM","Sevilla FC","FK Krasnodar","Ramón Sánchez Pizjuán","3","2","0","1"
"mt180","2020-2021","24-NOV-20 05.55.00.000000000 PM","Stade Rennes","Chelsea FC","Roazhon Park","1","2","0","0"
"mt181","2020-2021","24-NOV-20 05.55.00.000000000 PM","FK Krasnodar","Sevilla FC","Krasnodar Stadium","1","2","0","10554"
"mt182","2020-2021","02-DEC-20 05.55.00.000000000 PM","FK Krasnodar","Stade Rennes","Krasnodar Stadium","1","0","0","8747"
"mt183","2020-2021","02-DEC-20 08.00.00.000000000 PM","Sevilla FC","Chelsea FC","Ramón Sánchez Pizjuán","0","4","0","0"
"mt184","2020-2021","08-DEC-20 08.00.00.000000000 PM","Chelsea FC","FK Krasnodar","Stamford Bridge","1","1","0","2000"
"mt185","2020-2021","08-DEC-20 08.00.00.000000000 PM","Stade Rennes","Sevilla FC","Roazhon Park","1","3","0","0"
"mt186","2020-2021","20-OCT-20 05.55.00.000000000 PM","Zenit St. Petersburg","Club Brugge KV","Gazprom Arena","1","2","0","16682"
"mt187","2020-2021","20-OCT-20 08.00.00.000000000 PM","Lazio Roma","Borussia Dortmund","Olimpico","3","1","0","1000"
"mt188","2020-2021","28-OCT-20 08.00.00.000000000 PM","Borussia Dortmund","Zenit St. Petersburg","Signal Iduna Park","2","0","0","0"
"mt189","2020-2021","28-OCT-20 08.00.00.000000000 PM","Club Brugge KV","Lazio Roma","Jan Breydel Stadion","1","1","0","0"
"mt190","2020-2021","04-NOV-20 05.55.00.000000000 PM","Zenit St. Petersburg","Lazio Roma","Gazprom Arena","1","1","0","0"
"mt191","2020-2021","04-NOV-20 08.00.00.000000000 PM","Club Brugge KV","Borussia Dortmund","Jan Breydel Stadion","0","3","0","0"
"mt192","2020-2021","24-NOV-20 08.00.00.000000000 PM","Borussia Dortmund","Club Brugge KV","Signal Iduna Park","3","0","0","0"
"mt193","2020-2021","24-NOV-20 08.00.00.000000000 PM","Lazio Roma","Zenit St. Petersburg","Olimpico","3","1","0","0"
"mt194","2020-2021","02-DEC-20 08.00.00.000000000 PM","Borussia Dortmund","Lazio Roma","Signal Iduna Park","1","1","0","0"
"mt195","2020-2021","02-DEC-20 08.00.00.000000000 PM","Club Brugge KV","Zenit St. Petersburg","Jan Breydel Stadion","3","0","0","0"
"mt196","2020-2021","08-DEC-20 05.55.00.000000000 PM","Zenit St. Petersburg","Borussia Dortmund","Gazprom Arena","1","2","0","10860"
"mt197","2020-2021","08-DEC-20 05.55.00.000000000 PM","Lazio Roma","Club Brugge KV","Olimpico","2","2","0","0"
"mt198","2020-2021","20-OCT-20 05.55.00.000000000 PM","Dinamo Kiev","Juventus","Olimpiyskyi","0","2","0","14850"
"mt199","2020-2021","20-OCT-20 08.00.00.000000000 PM","FC Barcelona","Ferencvárosi TC","Spotify Camp Nou","5","1","0","0"
